channel_id,name,category
UCuTaETsuCOkJ0H_GAztWt0Q,Global Cycling Network,influencers
UCJVMrR290HU9pDxaP35u_cg,Global Triathlon Network,influencers
UCHyBWpfAggsFPDc5A7l_eWA,Cade Media,influencers
UCIfRR1N2Gm1vjj9X955iWSQ,NorCal cycling,influencers
UC08mbQ8UIX8DXSBFBO9VaZw,Peak Torque,influencers
UCvoYFL7eWTaCZitbajjF4yQ,Gerrit Knein,influencers
UCCzN8KWKew4fp-AWIuE7E8A,Katie Kookaburra,influencers
UCBBrPAEa61jeKMARU39O1hQ,Chris Hall,influencers
UCXqlds5f7B2OOs9vQuevl4A,Red Bull Bike,influencers
UCUwuL3MKanz9dX1GPAMZqJw,Nero Cycling,influencers
UCYzPindMiPA7J1OuyX3pCdg,Team Visma Lease A Bike,teams
UCXvTRxB0fMHTm9NKdOGOBOg,UAE Team Emirates XRG,teams
UCc1lFRTifsxsW3-QzFN-Eaw,EFC Pro Cycling,teams
UC7aWrrEdR7_RORZBFpI7gbA,Movistar Cycling Team,teams
UCaq9glaC5kI626cMCBAwc3Q,Soudal Quick-Step Pro Cycling Team,teams
UCV9vvIQ8gxceqrBkn-P7rlw,GreenEdge Cycling,teams
UC0k1SRsGd6THnCvsMulf2YA,Unibet Rose Rockets,teams
UCYygbkCUJAdsaRfH3L1y98w,Decathlon CMA CMG Team,teams
UCR6iC8sHqdyWurXiT1Y_kLw,Canyon SRAM,teams
UC8rlqRMt762GzKCQl0CwBwg,Redbull Bora Hansgrohe,teams
UC-gct8TB_8l5HsQHBBr8hyQ,Lionel Sanders,triathletes
UC6PP69DCmBwMCPf9RSSTNTg,Team Charles-Barclay,triathletes
UC8Wjskc9fSkYLporjscGIBQ,That Triathlon Life (Paula Findlay),triathletes
UCcQcpXfQl2QF2PsG4SPdeIg,Matt Hauser,triathletes
UCXqytZNftss5ECwwfeKeiqw,Jamie Riddle,triathletes
UCNoSoBcsDj-vogPcRcMwJYg,Malachi Cashmore,triathletes
UC3FUifepO8vXHtool8S1Z1g,Kristian Blummenfelt,triathletes
UCuGZGcO5LvIH4u9g_2ZsHGQ,Sam Long,triathletes
UChDOfUwTFzKWbaxlr_z-AjQ,Jelle Geens,triathletes
UCpjyzD2IhJ8FaT3hSoqlZWg,Ben and Courtney Kanute,triathletes
UCEMrO4N3mswohzIOsIftFDA,Canyon,brands
UCD9U24ny8q-mh25gCWfjV9g,Trek Bicycle,brands
UCcrBtxD8xy2cxeXM7f-xihA,Specialized Bicycles,brands
UCDfnam79n2tXXumz9i7jnIA,Scott Sports,brands
UCF9SrU6740dK8TmW9adIRkQ,Cube Bikes,brands
UCKPNcng2G77tR79ghdHzaQA,Merida Bikes,brands
UCZQhLgsgDObN7066d5rnDhw,SRAM,brands
UCXYXxfVjxMppZY64-5baOsw,Rapha Films,brands
UC2g0EMtE08BYh_CNuvkYuYQ,Precision Fuel and Hydration,brands
UCHhgHOQoD_AQ84jYWfzWvAw,Silca Velo,brands
